project,sha,module,test_type,test,method_name,status,PR_link,notes,file_path,patch_file,test_results,jdk,build_results,Exceptions,all_round_logs,time,if_flaky
https://github.com/alibaba/jetcache,d28019640ac3eb6ac167dd0dc582adac7656226e,jetcache-test,ID,com.alicp.jetcache.anno.support.ConfigProvider_CacheMessagePublisher_Test.test,test,Accepted,https://github.com/alibaba/jetcache/pull/614,,projects/d28019640ac3eb6ac167dd0dc582adac7656226e/jetcache/jetcache-test/src/test/java/com/alicp/jetcache/anno/support/ConfigProvider_CacheMessagePublisher_Test.java,outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/GoodPatches/jetcache/d28019640ac3eb6ac167dd0dc582adac7656226e/jetcache-test/com.alicp.jetcache.anno.support.ConfigProvider_CacheMessagePublisher_Test.test/1.patch,"{0: 'test_failure', 1: 'test_pass'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/jetcache/d28019640ac3eb6ac167dd0dc582adac7656226e/jetcache-test/com.alicp.jetcache.anno.support.ConfigProvider_CacheMessagePublisher_Test.test/1.patch,31.02246199408546,True
https://github.com/alibaba/jetcache,d28019640ac3eb6ac167dd0dc582adac7656226e,jetcache-test,ID,com.alicp.jetcache.embedded.CaffeineCacheTest.test,test,Accepted,https://github.com/alibaba/jetcache/pull/446,,projects/d28019640ac3eb6ac167dd0dc582adac7656226e/jetcache/jetcache-test/src/test/java/com/alicp/jetcache/embedded/CaffeineCacheTest.java,,"{0: 'test_failure', 1: 'compilation_error', 2: 'test_failure', 3: 'test_failure', 4: 'test_failure', 5: 'test_failure'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD SUCCESS', 3: 'BUILD SUCCESS', 4: 'BUILD SUCCESS', 5: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/jetcache/d28019640ac3eb6ac167dd0dc582adac7656226e/jetcache-test/com.alicp.jetcache.embedded.CaffeineCacheTest.test/5.patch,265.4581878099125,True
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,ID,com.alibaba.json.bvt.guava.ArrayListMultimapTest.test_for_multimap,test_for_multimap,Accepted,https://github.com/alibaba/fastjson/pull/3502,,projects/e05e9c5e4be580691cc55a59f3256595393203a1/fastjson/src/test/java/com/alibaba/json/bvt/guava/ArrayListMultimapTest.java,outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/GoodPatches/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.guava.ArrayListMultimapTest.test_for_multimap/1.patch,"{0: 'test_failure', 1: 'test_pass'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.guava.ArrayListMultimapTest.test_for_multimap/1.patch,25.484430213924497,True
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,ID,com.alibaba.json.bvt.issue_1100.Issue1177_2.test_for_issue,test_for_issue,Accepted,https://github.com/alibaba/fastjson/pull/3042,,projects/e05e9c5e4be580691cc55a59f3256595393203a1/fastjson/src/test/java/com/alibaba/json/bvt/issue_1100/Issue1177_2.java,outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/GoodPatches/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.issue_1100.Issue1177_2.test_for_issue/3.patch,"{0: 'test_failure', 1: 'compilation_error', 2: 'test_failure', 3: 'test_pass'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD SUCCESS', 3: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.issue_1100.Issue1177_2.test_for_issue/3.patch,85.87146478402428,True
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,ID,com.alibaba.json.bvt.issue_1400.Issue1480.test_for_issue,test_for_issue,Accepted,https://github.com/alibaba/fastjson/pull/3025,,projects/e05e9c5e4be580691cc55a59f3256595393203a1/fastjson/src/test/java/com/alibaba/json/bvt/issue_1400/Issue1480.java,outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/GoodPatches/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.issue_1400.Issue1480.test_for_issue/2.patch,"{0: 'test_failure', 1: 'test_failure', 2: 'test_pass'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD SUCCESS', 2: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.issue_1400.Issue1480.test_for_issue/2.patch,72.1588752779644,True
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,ID,com.alibaba.json.bvt.issue_1500.Issue1584.test_for_issue,test_for_issue,Accepted,https://github.com/alibaba/fastjson/pull/3570,,projects/e05e9c5e4be580691cc55a59f3256595393203a1/fastjson/src/test/java/com/alibaba/json/bvt/issue_1500/Issue1584.java,outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/GoodPatches/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.issue_1500.Issue1584.test_for_issue/4.patch,"{0: 'test_failure', 1: 'compilation_error', 2: 'test_failure', 3: 'test_failure', 4: 'test_pass'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD SUCCESS', 3: 'BUILD SUCCESS', 4: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.issue_1500.Issue1584.test_for_issue/4.patch,101.4411646227818,True
https://github.com/alibaba/fastjson,3ea25de368b185e3c9f3d56e46a4cfcdb9265318,.,ID,com.alibaba.json.bvt.path.JSONPath_reverse_test.test_reserve3,test_reserve3,Accepted,https://github.com/alibaba/fastjson/pull/3530,,projects/3ea25de368b185e3c9f3d56e46a4cfcdb9265318/fastjson/src/test/java/com/alibaba/json/bvt/path/JSONPath_reverse_test.java,,"{0: 'test_failure', 1: 'compilation_error', 2: 'test_failure', 3: 'test_failure', 4: 'pom_error', 5: 'pom_error'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD SUCCESS', 3: 'BUILD SUCCESS', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/fastjson/3ea25de368b185e3c9f3d56e46a4cfcdb9265318/./com.alibaba.json.bvt.path.JSONPath_reverse_test.test_reserve3/5.patch,124.96347779594362,True
https://github.com/alibaba/fastjson,3ea25de368b185e3c9f3d56e46a4cfcdb9265318,.,ID,com.alibaba.json.bvt.path.JSONPath_reverse_test.test_reserve,test_reserve,Accepted,https://github.com/alibaba/fastjson/pull/3530,,projects/3ea25de368b185e3c9f3d56e46a4cfcdb9265318/fastjson/src/test/java/com/alibaba/json/bvt/path/JSONPath_reverse_test.java,,"{0: 'test_failure', 1: 'compilation_error', 2: 'Stitched:compilation_error', 3: 'compilation_error', 4: 'Stitched:compilation_error', 5: 'Stitched:compilation_error'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD FAILURE', 3: 'BUILD FAILURE', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/fastjson/3ea25de368b185e3c9f3d56e46a4cfcdb9265318/./com.alibaba.json.bvt.path.JSONPath_reverse_test.test_reserve/5.patch,136.51426421501674,True
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,ID,com.alibaba.json.bvt.support.spring.mock.testcase.FastJsonpHttpMessageConverter4Case1Test.test1_2,test1_2,Accepted,https://github.com/alibaba/fastjson/pull/3569,,projects/e05e9c5e4be580691cc55a59f3256595393203a1/fastjson/src/test/java/com/alibaba/json/bvt/support/spring/mock/testcase/FastJsonpHttpMessageConverter4Case1Test.java,,"{0: 'test_failure', 1: 'test_failure', 2: 'pom_error', 3: 'pom_error', 4: 'pom_error', 5: 'Stitched:pom_error'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD SUCCESS', 2: 'BUILD FAILURE', 3: 'BUILD FAILURE', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.support.spring.mock.testcase.FastJsonpHttpMessageConverter4Case1Test.test1_2/5.patch,85.20650294306688,True
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,ID,com.alibaba.json.bvt.support.spring.mock.testcase.FastJsonpHttpMessageConverter4Case1Test.test2_2,test2_2,Accepted,https://github.com/alibaba/fastjson/pull/3569,,projects/e05e9c5e4be580691cc55a59f3256595393203a1/fastjson/src/test/java/com/alibaba/json/bvt/support/spring/mock/testcase/FastJsonpHttpMessageConverter4Case1Test.java,,"{0: 'test_failure', 1: 'test_failure', 2: 'pom_error', 3: 'pom_error', 4: 'pom_error', 5: 'pom_error'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD SUCCESS', 2: 'BUILD FAILURE', 3: 'BUILD FAILURE', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4a27402a71d58425733d47e7addee8937b391903/all_rounds/fastjson/e05e9c5e4be580691cc55a59f3256595393203a1/./com.alibaba.json.bvt.support.spring.mock.testcase.FastJsonpHttpMessageConverter4Case1Test.test2_2/5.patch,87.54781845700927,True
