project,sha,module,test_type,test,method_name,status,PR_link,notes,file_path,patch_file,test_results,jdk,build_results,Exceptions,all_round_logs,time,if_flaky
https://github.com/mybatis/mybatis-3,0ca486022cbc98bed6ae9d017919dae564986aec,.,ID,org.apache.ibatis.reflection.ReflectorTest.shouldSettersWithUnrelatedArgTypesThrowException,shouldSettersWithUnrelatedArgTypesThrowException,Accepted,https://github.com/mybatis/mybatis-3/pull/1833,,projects/0ca486022cbc98bed6ae9d017919dae564986aec/mybatis-3/src/test/java/org/apache/ibatis/reflection/ReflectorTest.java,outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/GoodPatches/mybatis-3/0ca486022cbc98bed6ae9d017919dae564986aec/./org.apache.ibatis.reflection.ReflectorTest.shouldSettersWithUnrelatedArgTypesThrowException/1.patch,"{0: 'test_failure', 1: 'test_pass'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/mybatis-3/0ca486022cbc98bed6ae9d017919dae564986aec/./org.apache.ibatis.reflection.ReflectorTest.shouldSettersWithUnrelatedArgTypesThrowException/1.patch,26.940870978869498,True
https://github.com/nutzam/nutz,97745dd754eb9aee59aa806d90be53aac051a3e5,.,ID,org.nutz.json.JsonTest.testDuplicateArrayList,testDuplicateArrayList,Accepted,https://github.com/nutzam/nutz/pull/1541,,projects/97745dd754eb9aee59aa806d90be53aac051a3e5/nutz/test/org/nutz/json/JsonTest.java,,"{0: 'test_failure', 1: 'compilation_error', 2: 'compilation_error', 3: 'compilation_error', 4: 'compilation_error', 5: 'compilation_error'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD FAILURE', 3: 'BUILD FAILURE', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/nutz/97745dd754eb9aee59aa806d90be53aac051a3e5/./org.nutz.json.JsonTest.testDuplicateArrayList/5.patch,107.76802134490572,True
https://github.com/nutzam/nutz,97745dd754eb9aee59aa806d90be53aac051a3e5,.,ID,org.nutz.json.JsonTest.test_empty_obj_toJson,test_empty_obj_toJson,Accepted,https://github.com/nutzam/nutz/pull/1541,,projects/97745dd754eb9aee59aa806d90be53aac051a3e5/nutz/test/org/nutz/json/JsonTest.java,,"{0: 'test_failure', 1: 'compilation_error', 2: 'compilation_error', 3: 'compilation_error', 4: 'compilation_error', 5: 'compilation_error'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD FAILURE', 3: 'BUILD FAILURE', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/nutz/97745dd754eb9aee59aa806d90be53aac051a3e5/./org.nutz.json.JsonTest.test_empty_obj_toJson/5.patch,96.72682043304667,True
https://github.com/nutzam/nutz,97745dd754eb9aee59aa806d90be53aac051a3e5,.,ID,org.nutz.json.JsonTest.test_enum,test_enum,Accepted,https://github.com/nutzam/nutz/pull/1541,,projects/97745dd754eb9aee59aa806d90be53aac051a3e5/nutz/test/org/nutz/json/JsonTest.java,,"{0: 'test_failure', 1: 'compilation_error', 2: 'compilation_error', 3: 'compilation_error', 4: 'compilation_error', 5: 'compilation_error'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD FAILURE', 3: 'BUILD FAILURE', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/nutz/97745dd754eb9aee59aa806d90be53aac051a3e5/./org.nutz.json.JsonTest.test_enum/5.patch,115.05829043500125,True
https://github.com/nutzam/nutz,97745dd754eb9aee59aa806d90be53aac051a3e5,.,ID,org.nutz.json.JsonTest.test_final_field,test_final_field,Accepted,https://github.com/nutzam/nutz/pull/1541,,projects/97745dd754eb9aee59aa806d90be53aac051a3e5/nutz/test/org/nutz/json/JsonTest.java,,"{0: 'test_failure', 1: 'compilation_error', 2: 'compilation_error', 3: 'compilation_error', 4: 'compilation_error', 5: 'compilation_error'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD FAILURE', 3: 'BUILD FAILURE', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/nutz/97745dd754eb9aee59aa806d90be53aac051a3e5/./org.nutz.json.JsonTest.test_final_field/5.patch,97.18331908108667,True
https://github.com/nutzam/nutz,97745dd754eb9aee59aa806d90be53aac051a3e5,.,ID,org.nutz.json.JsonTest.test_number_formt_tojson,test_number_formt_tojson,Accepted,https://github.com/nutzam/nutz/pull/1541,,projects/97745dd754eb9aee59aa806d90be53aac051a3e5/nutz/test/org/nutz/json/JsonTest.java,,"{0: 'test_failure', 1: 'compilation_error', 2: 'compilation_error', 3: 'compilation_error', 4: 'compilation_error', 5: 'compilation_error'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD FAILURE', 3: 'BUILD FAILURE', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/nutz/97745dd754eb9aee59aa806d90be53aac051a3e5/./org.nutz.json.JsonTest.test_number_formt_tojson/5.patch,135.25298572704196,True
https://github.com/spring-cloud/spring-cloud-config,922590e084284fc95566f8dcb277e94733cff2ec,spring-cloud-config-monitor,ID,org.springframework.cloud.config.monitor.GiteePropertyPathNotificationExtractorTests.giteeSample,giteeSample,Accepted,https://github.com/spring-cloud/spring-cloud-config/pull/1546,,projects/922590e084284fc95566f8dcb277e94733cff2ec/spring-cloud-config/spring-cloud-config-monitor/src/test/java/org/springframework/cloud/config/monitor/GiteePropertyPathNotificationExtractorTests.java,outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/GoodPatches/spring-cloud-config/922590e084284fc95566f8dcb277e94733cff2ec/spring-cloud-config-monitor/org.springframework.cloud.config.monitor.GiteePropertyPathNotificationExtractorTests.giteeSample/1.patch,"{0: 'test_failure', 1: 'test_pass'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/spring-cloud-config/922590e084284fc95566f8dcb277e94733cff2ec/spring-cloud-config-monitor/org.springframework.cloud.config.monitor.GiteePropertyPathNotificationExtractorTests.giteeSample/1.patch,19.184335744008422,True
https://github.com/adobe/asset-share-commons,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,core,ID,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsDownloadServletTest.doPost,doPost,Accepted,https://github.com/adobe/asset-share-commons/pull/672,issue: https://github.com/adobe/asset-share-commons/issues/673,projects/ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed/asset-share-commons/core/src/test/java/com/adobe/aem/commons/assetshare/content/renditions/download/impl/AssetRenditionsDownloadServletTest.java,,"{0: 'test_failure', 1: 'compilation_error', 2: 'pom_error', 3: 'pom_error', 4: 'pom_error', 5: 'pom_error'}",11,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD FAILURE', 3: 'BUILD FAILURE', 4: 'BUILD FAILURE', 5: 'BUILD FAILURE'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/asset-share-commons/ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed/core/com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsDownloadServletTest.doPost/5.patch,189.3854653709568,True
https://github.com/DataDog/jmeter-datadog-backend-listener,4b237366bf81050e56aa4d96944cffcd594593c0,.,ID,org.datadog.jmeter.plugins.DatadogBackendClientTest.testExtractLogs,testExtractLogs,Accepted,https://github.com/DataDog/jmeter-datadog-backend-listener/pull/33,,projects/4b237366bf81050e56aa4d96944cffcd594593c0/jmeter-datadog-backend-listener/src/test/java/org/datadog/jmeter/plugins/DatadogBackendClientTest.java,outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/GoodPatches/jmeter-datadog-backend-listener/4b237366bf81050e56aa4d96944cffcd594593c0/./org.datadog.jmeter.plugins.DatadogBackendClientTest.testExtractLogs/2.patch,"{0: 'test_failure', 1: 'compilation_error', 2: 'test_pass'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD FAILURE', 2: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/jmeter-datadog-backend-listener/4b237366bf81050e56aa4d96944cffcd594593c0/./org.datadog.jmeter.plugins.DatadogBackendClientTest.testExtractLogs/2.patch,59.39673464302905,True
https://github.com/OpenAPITools/openapi-generator,fe934dc1b40227369f226611219886760458f6d2,modules/openapi-generator,ID,org.openapitools.codegen.DefaultCodegenTest.testVarsAndRequiredVarsPresent,testVarsAndRequiredVarsPresent,Accepted,https://github.com/OpenAPITools/openapi-generator/pull/16751,https://github.com/OpenAPITools/openapi-generator/commit/494ee489ade5344b1bc7acdb545e058563f2d73f,projects/fe934dc1b40227369f226611219886760458f6d2/openapi-generator/modules/openapi-generator/src/test/java/org/openapitools/codegen/DefaultCodegenTest.java,,"{0: 'test_failure', 1: 'test_failure', 2: 'test_failure', 3: 'test_failure', 4: 'test_failure', 5: 'test_failure'}",8,"{0: 'BUILD SUCCESS', 1: 'BUILD SUCCESS', 2: 'BUILD SUCCESS', 3: 'BUILD SUCCESS', 4: 'BUILD SUCCESS', 5: 'BUILD SUCCESS'}",{},outputs/ID_Results_GPT-4_projects_4bce7b7447705bb5cfe9008c2dca81c1be4d2767/all_rounds/openapi-generator/fe934dc1b40227369f226611219886760458f6d2/modules/openapi-generator/org.openapitools.codegen.DefaultCodegenTest.testVarsAndRequiredVarsPresent/5.patch,305.82999978004955,True
